Time,Pressure,Temperature,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude,CO2,H2O
194513,1003,-0.8,85,-8.8,57.4,0,404.8,0,0,0,68.30354,133.48595,2519,487
194514,1002.8,-1,87,-8.8,57.4,0,374.3,0,0,0,68.30354,133.48715,2520,487
194515,1002.4,-1.1,90,-8.6,58.9,0,238.9,0,0,0,68.30354,133.48886,2520,487
194516,1001.9,-1.2,95,-8.6,58.7,0,246.5,0,0,0,68.30338,133.49092,2498,483
194517,1001.3,-1.1,99,-8.8,57.8,0,230.5,0,0,0,68.30338,133.49246,2335,451
194518,1000.7,-1.3,105,-9,57.6,0,428.7,0,0,0,68.30338,133.49402,1935,374
194519,1000.2,-1.3,108,-8.6,59.2,0,161.6,0,0,0,68.30338,133.49573,1927,366
194520,999.3,-1.3,116,-8.6,59.4,0,167,0,0,0,68.3032,133.49727,1920,364
194521,998.6,-1.3,122,-8.9,58.3,0,152.8,0,0,0,68.3032,133.49933,1916,364
194522,997.9,-1.4,128,-9,57.5,0,181.4,0,0,0,68.3032,133.50053,1913,365
194523,997.1,-1.5,135,-8.9,58.5,0,201.8,0,0,0,68.3032,133.50243,1912,362
194524,996,-1.5,144,-8.8,59.3,0,151,0,0,0,68.30303,133.50449,1910,360
194525,995.1,-1.5,151,-9,58.5,0,107,0,0,0,68.30303,133.50603,1907,359
194526,994.2,-1.6,159,-9.1,57.9,0,130,0,0,0,68.30303,133.50775,1906,358
194527,993.1,-1.8,168,-9.1,58.3,0,113.1,0,0,0,68.30286,133.50981,1904,358
194528,992.2,-1.8,176,-9.1,59.1,0,146.6,0,0,0,68.30286,133.51169,1902,359
194529,991.2,-1.8,185,-9.1,59.4,0,157.5,0,0,0,68.30286,133.51306,1900,359
194530,990.5,-1.9,190,-9.1,59.9,0,195.9,0,0,0,68.30286,133.51512,1899,359
194531,989.8,-1.9,196,-9,60.2,0,125.2,0,0,0,68.30269,133.51649,1896,357
194532,989.2,-2,202,-9.1,59.9,0,176.7,0,0,0,68.30269,133.51907,1894,357
194533,988.6,-2.1,207,-9.1,60.3,0,212.3,0,0,0,68.30269,133.52045,1892,357
194534,988,-2.1,211,-9,60.8,0,320.2,0,0,0,68.30269,133.52319,1890,355
194535,987.5,-2.2,216,-9.1,60.7,0,254.5,0,0,0,68.30251,133.52509,1890,356
194536,986.8,-2.2,222,-9,61.3,0,294.4,0,0,0,68.30251,133.52679,1888,355
194537,986,-2.3,229,-9.1,61.2,0,310.8,0,0,0,68.30251,133.52869,1885,355
194538,985.2,-2.2,236,-9.1,61.2,0,458.4,0,0,0,68.30235,133.53127,1884,355
194539,984.5,-2.3,242,-9.1,61.1,0,279.2,0,0,0,68.30235,133.53316,1881,355
194540,983.4,-2.3,251,-9,61.5,0,213.4,0,0,0,68.30235,133.53503,1879,355
194541,982.4,-2.4,259,-9.1,61.3,0,166.1,0,0,0,68.30217,133.53728,1877,353
194542,981.6,-2.5,266,-9.2,61.2,0,167.8,0,0,0,68.30217,133.53915,1876,354
194543,980.8,-2.5,273,-9.1,61.6,0,223.5,0,0,0,68.30217,133.54105,1873,354
194544,979.7,-2.5,282,-9.1,61.9,0,112.1,0,0,0,68.302,133.54379,1871,352
194545,978.8,-2.6,290,-9.2,61.7,0,163.3,0,0,0,68.302,133.54568,1869,352
194546,977.9,-2.6,298,-9.2,61.8,0,151.6,0,0,0,68.30183,133.54723,1867,351
